name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
Head HBS-1091 Polyester Badminton Shorts; Large (Navy);https://www.amazon.in/HBS-1091-Polyester-Badminton-Shorts-Large/dp/B07SGSH6QH/ref=sr_1_1530?qid=1679217179&s=sports&sr=1-1530;3.8;84;₹600;₹749;;;;;;;
MRD DESIGNER HUB Unisex Running Shorts;sports & fitness;3.5;2,503;₹599;₹2,247;;;;;;;;
5IVE DEGREE 3-Pack Cotton Regular fit Boy's & Girls Joggers Track Pants;sports & fitness;3.0;1;₹940;₹1,499;;;;;;;;
Alan Jones Clothing Women's Slim Fit Trackpants;sports & fitness;3.9;257;₹499;₹1,299;;;;;;;;
COUGAR Neo Polypropylene PP Football (Neon; Size 5) ;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/713AJDOiK8L._AC_UL320_.jpg;https://www.amazon.in/Cougar-Football-Full-Size-Colour/dp/B07KVGPV74/ref=sr_1_1534?qid=1679217179&s=sports&sr=1-1534;3.4;7;₹650;₹1,000;;;;;;
JUNEBERRY Co ord Set for Women; Pure Cotton Half Sleeve T-Shirt & Track Pants Co ord Set;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41h0P9K1JsS._AC_UL320_.jpg;https://www.amazon.in/JUNEBERRY-Cotton-T-Shirt-Co-Ords-CO_01_YLW_Rule_L_Yellow_Large/dp/B08TQXQR91/ref=sr_1_1535?qid=1679217179&s=sports&sr=1-1535;4.1;412;₹699;₹1,999;;;;;;
Brimba H2 Football socks; cotton football socks;Football;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71LZNrUVEQL._AC_UL320_.jpg;https://www.amazon.in/Football-socks-cotton-football-soccer/dp/B0BLNM1HXY/ref=sr_1_1536?qid=1679217179&s=sports&sr=1-1536;;;₹279;₹699;;;;;
Brimba H2 Football socks; cotton football socks;Football;https://m.media-amazon.com/images/I/71LZNrUVEQL._AC_UL320_.jpg;https://www.amazon.in/Football-socks-cotton-football-soccer/dp/B0BLNM1HXY/ref=sr_1_1537?qid=1679217181&s=sports&sr=1-1537;;;₹279;₹699;;;;;
GRS ® Sports 6 Inch Cones Pack 6; 20 Space Markers Combo;https://m.media-amazon.com/images/I/61KrC00mvoL._AC_UL320_.jpg;https://www.amazon.in/Sports-Cones-Space-Markers-Combo/dp/B08KHD5SB9/ref=sr_1_1538?qid=1679217181&s=sports&sr=1-1538;4.3;44;₹310;₹799;;;;;;
Fflirtygo Combo of Men's Cotton Track Pants; Joggers for Men;sports & fitness;Football;https://m.media-amazon.com/images/I/81vymEN7ftL._AC_UL320_.jpg;https://www.amazon.in/Fflirtygo-Joggers-Pockets-Athletic-Training/dp/B08XJQSPGK/ref=sr_1_1539?qid=1679217181&s=sports&sr=1-1539;3.1;55;₹845.06;₹1,799;;;;
